"NomeCidade","CodEstadoIBGE","NomeEstado","Regiao","ID_Regiao"
"Silvanópolis",17,"Tocantins","Norte",1
"Sítio Novo do Tocantins",17,"Tocantins","Norte",1
"Sucupira",17,"Tocantins","Norte",1
"Taguatinga",17,"Tocantins","Norte",1
"Taipas do Tocantins",17,"Tocantins","Norte",1
"Talismã",17,"Tocantins","Norte",1
"Palmas",17,"Tocantins","Norte",1
"Tocantínia",17,"Tocantins","Norte",1
"Tocantinópolis",17,"Tocantins","Norte",1
"Tupirama",17,"Tocantins","Norte",1
"Tupiratins",17,"Tocantins","Norte",1
"Wanderlândia",17,"Tocantins","Norte",1
"Xambioá",17,"Tocantins","Norte",1
"Açailândia",21,"Maranhão","Nordeste",2
"Afonso Cunha",21,"Maranhão","Nordeste",2
"Água Doce do Maranhão",21,"Maranhão","Nordeste",2
"Alcântara",21,"Maranhão","Nordeste",2
"Aldeias Altas",21,"Maranhão","Nordeste",2
"Altamira do Maranhão",21,"Maranhão","Nordeste",2
"Alto Alegre do Maranhão",21,"Maranhão","Nordeste",2
"Alto Alegre do Pindaré",21,"Maranhão","Nordeste",2
"Alto Parnaíba",21,"Maranhão","Nordeste",2
"Amapá do Maranhão",21,"Maranhão","Nordeste",2
"Amarante do Maranhão",21,"Maranhão","Nordeste",2
"Anajatuba",21,"Maranhão","Nordeste",2
"Anapurus",21,"Maranhão","Nordeste",2
"Apicum-Açu",21,"Maranhão","Nordeste",2
"Araguanã",21,"Maranhão","Nordeste",2
"Araioses",21,"Maranhão","Nordeste",2
"Arame",21,"Maranhão","Nordeste",2
"Arari",21,"Maranhão","Nordeste",2
"Axixá",21,"Maranhão","Nordeste",2
"Bacabal",21,"Maranhão","Nordeste",2
"Bacabeira",21,"Maranhão","Nordeste",2
"Bacuri",21,"Maranhão","Nordeste",2
"Bacurituba",21,"Maranhão","Nordeste",2
"Balsas",21,"Maranhão","Nordeste",2
"Barão de Grajaú",21,"Maranhão","Nordeste",2
"Barra do Corda",21,"Maranhão","Nordeste",2
"Barreirinhas",21,"Maranhão","Nordeste",2
"Belágua",21,"Maranhão","Nordeste",2
"Bela Vista do Maranhão",21,"Maranhão","Nordeste",2
"Benedito Leite",21,"Maranhão","Nordeste",2
"Bequimão",21,"Maranhão","Nordeste",2
"Bernardo do Mearim",21,"Maranhão","Nordeste",2
"Boa Vista do Gurupi",21,"Maranhão","Nordeste",2
"Bom Jardim",21,"Maranhão","Nordeste",2
"Bom Jesus das Selvas",21,"Maranhão","Nordeste",2
"Bom Lugar",21,"Maranhão","Nordeste",2
"Brejo",21,"Maranhão","Nordeste",2
"Brejo de Areia",21,"Maranhão","Nordeste",2
"Buriti",21,"Maranhão","Nordeste",2
"Buriti Bravo",21,"Maranhão","Nordeste",2
"Buriticupu",21,"Maranhão","Nordeste",2
"Buritirana",21,"Maranhão","Nordeste",2
"Cachoeira Grande",21,"Maranhão","Nordeste",2
"Cajapió",21,"Maranhão","Nordeste",2
"Cajari",21,"Maranhão","Nordeste",2
"Campestre do Maranhão",21,"Maranhão","Nordeste",2
"Cândido Mendes",21,"Maranhão","Nordeste",2
"Cantanhede",21,"Maranhão","Nordeste",2
"Capinzal do Norte",21,"Maranhão","Nordeste",2
"Carolina",21,"Maranhão","Nordeste",2
"Carutapera",21,"Maranhão","Nordeste",2
"Caxias",21,"Maranhão","Nordeste",2
"Cedral",21,"Maranhão","Nordeste",2
"Central do Maranhão",21,"Maranhão","Nordeste",2
"Centro do Guilherme",21,"Maranhão","Nordeste",2
"Centro Novo do Maranhão",21,"Maranhão","Nordeste",2
"Chapadinha",21,"Maranhão","Nordeste",2
"Cidelândia",21,"Maranhão","Nordeste",2
"Codó",21,"Maranhão","Nordeste",2
"Coelho Neto",21,"Maranhão","Nordeste",2
"Colinas",21,"Maranhão","Nordeste",2
"Conceição do Lago-Açu",21,"Maranhão","Nordeste",2
"Coroatá",21,"Maranhão","Nordeste",2
"Cururupu",21,"Maranhão","Nordeste",2
"Davinópolis",21,"Maranhão","Nordeste",2
"Dom Pedro",21,"Maranhão","Nordeste",2
"Duque Bacelar",21,"Maranhão","Nordeste",2
"Esperantinópolis",21,"Maranhão","Nordeste",2
"Estreito",21,"Maranhão","Nordeste",2
"Feira Nova do Maranhão",21,"Maranhão","Nordeste",2
"Fernando Falcão",21,"Maranhão","Nordeste",2
"Formosa da Serra Negra",21,"Maranhão","Nordeste",2
"Fortaleza dos Nogueiras",21,"Maranhão","Nordeste",2
"Fortuna",21,"Maranhão","Nordeste",2
"Godofredo Viana",21,"Maranhão","Nordeste",2
"Gonçalves Dias",21,"Maranhão","Nordeste",2
"Governador Archer",21,"Maranhão","Nordeste",2
"Governador Edison Lobão",21,"Maranhão","Nordeste",2
"Governador Eugênio Barros",21,"Maranhão","Nordeste",2
"Governador Luiz Rocha",21,"Maranhão","Nordeste",2
"Governador Newton Bello",21,"Maranhão","Nordeste",2
"Governador Nunes Freire",21,"Maranhão","Nordeste",2
"Graça Aranha",21,"Maranhão","Nordeste",2
"Grajaú",21,"Maranhão","Nordeste",2
"Guimarães",21,"Maranhão","Nordeste",2
"Humberto de Campos",21,"Maranhão","Nordeste",2
"Icatu",21,"Maranhão","Nordeste",2
"Igarapé do Meio",21,"Maranhão","Nordeste",2
"Igarapé Grande",21,"Maranhão","Nordeste",2
"Imperatriz",21,"Maranhão","Nordeste",2
"Itaipava do Grajaú",21,"Maranhão","Nordeste",2
"Itapecuru Mirim",21,"Maranhão","Nordeste",2
"Itinga do Maranhão",21,"Maranhão","Nordeste",2
"Jatobá",21,"Maranhão","Nordeste",2
"Jenipapo dos Vieiras",21,"Maranhão","Nordeste",2
"João Lisboa",21,"Maranhão","Nordeste",2
"Joselândia",21,"Maranhão","Nordeste",2
"Junco do Maranhão",21,"Maranhão","Nordeste",2
"Lago da Pedra",21,"Maranhão","Nordeste",2
"Lago do Junco",21,"Maranhão","Nordeste",2
"Lago Verde",21,"Maranhão","Nordeste",2
"Lagoa do Mato",21,"Maranhão","Nordeste",2
"Lago dos Rodrigues",21,"Maranhão","Nordeste",2
"Lagoa Grande do Maranhão",21,"Maranhão","Nordeste",2
"Lajeado Novo",21,"Maranhão","Nordeste",2
"Lima Campos",21,"Maranhão","Nordeste",2
"Loreto",21,"Maranhão","Nordeste",2
"Luís Domingues",21,"Maranhão","Nordeste",2
"Magalhães de Almeida",21,"Maranhão","Nordeste",2
"Maracaçumé",21,"Maranhão","Nordeste",2
"Marajá do Sena",21,"Maranhão","Nordeste",2
"Maranhãozinho",21,"Maranhão","Nordeste",2
"Mata Roma",21,"Maranhão","Nordeste",2
"Matinha",21,"Maranhão","Nordeste",2
"Matões",21,"Maranhão","Nordeste",2
"Matões do Norte",21,"Maranhão","Nordeste",2
"Milagres do Maranhão",21,"Maranhão","Nordeste",2
"Mirador",21,"Maranhão","Nordeste",2
"Miranda do Norte",21,"Maranhão","Nordeste",2
"Mirinzal",21,"Maranhão","Nordeste",2
"Monção",21,"Maranhão","Nordeste",2
"Montes Altos",21,"Maranhão","Nordeste",2
"Morros",21,"Maranhão","Nordeste",2
"Nina Rodrigues",21,"Maranhão","Nordeste",2
"Nova Colinas",21,"Maranhão","Nordeste",2
"Nova Iorque",21,"Maranhão","Nordeste",2
"Nova Olinda do Maranhão",21,"Maranhão","Nordeste",2
"Olho d'Água das Cunhãs",21,"Maranhão","Nordeste",2
"Olinda Nova do Maranhão",21,"Maranhão","Nordeste",2
