"row ID","NomeCidade","CodEstadoIBGE","NomeEstado","Regiao"
"Row244","Placas",15,"Pará","Norte"
"Row245","Ponta de Pedras",15,"Pará","Norte"
"Row246","Portel",15,"Pará","Norte"
"Row247","Porto de Moz",15,"Pará","Norte"
"Row248","Prainha",15,"Pará","Norte"
"Row249","Primavera",15,"Pará","Norte"
"Row250","Quatipuru",15,"Pará","Norte"
"Row251","Redenção",15,"Pará","Norte"
"Row252","Rio Maria",15,"Pará","Norte"
"Row253","Rondon do Pará",15,"Pará","Norte"
"Row254","Rurópolis",15,"Pará","Norte"
"Row255","Salinópolis",15,"Pará","Norte"
"Row256","Salvaterra",15,"Pará","Norte"
"Row257","Santa Bárbara do Pará",15,"Pará","Norte"
"Row258","Santa Cruz do Arari",15,"Pará","Norte"
"Row259","Santa Izabel do Pará",15,"Pará","Norte"
"Row260","Santa Luzia do Pará",15,"Pará","Norte"
"Row261","Santa Maria das Barreiras",15,"Pará","Norte"
"Row262","Santa Maria do Pará",15,"Pará","Norte"
"Row263","Santana do Araguaia",15,"Pará","Norte"
"Row264","Santarém",15,"Pará","Norte"
"Row265","Santarém Novo",15,"Pará","Norte"
"Row266","Santo Antônio do Tauá",15,"Pará","Norte"
"Row267","São Caetano de Odivelas",15,"Pará","Norte"
"Row268","São Domingos do Araguaia",15,"Pará","Norte"
"Row269","São Domingos do Capim",15,"Pará","Norte"
"Row270","São Félix do Xingu",15,"Pará","Norte"
"Row271","São Francisco do Pará",15,"Pará","Norte"
"Row272","São Geraldo do Araguaia",15,"Pará","Norte"
"Row273","São João da Ponta",15,"Pará","Norte"
"Row274","São João de Pirabas",15,"Pará","Norte"
"Row275","São João do Araguaia",15,"Pará","Norte"
"Row276","São Miguel do Guamá",15,"Pará","Norte"
"Row277","São Sebastião da Boa Vista",15,"Pará","Norte"
"Row278","Sapucaia",15,"Pará","Norte"
"Row279","Senador José Porfírio",15,"Pará","Norte"
"Row280","Soure",15,"Pará","Norte"
"Row281","Tailândia",15,"Pará","Norte"
"Row282","Terra Alta",15,"Pará","Norte"
"Row283","Terra Santa",15,"Pará","Norte"
"Row284","Tomé-Açu",15,"Pará","Norte"
"Row285","Tracuateua",15,"Pará","Norte"
"Row286","Trairão",15,"Pará","Norte"
"Row287","Tucumã",15,"Pará","Norte"
"Row288","Tucuruí",15,"Pará","Norte"
"Row289","Ulianópolis",15,"Pará","Norte"
"Row290","Uruará",15,"Pará","Norte"
"Row291","Vigia",15,"Pará","Norte"
"Row292","Viseu",15,"Pará","Norte"
"Row293","Vitória do Xingu",15,"Pará","Norte"
"Row294","Xinguara",15,"Pará","Norte"
"Row295","Serra do Navio",16,"Amapá","Norte"
"Row296","Amapá",16,"Amapá","Norte"
"Row297","Pedra Branca do Amapari",16,"Amapá","Norte"
"Row298","Calçoene",16,"Amapá","Norte"
"Row299","Cutias",16,"Amapá","Norte"
"Row300","Ferreira Gomes",16,"Amapá","Norte"
"Row301","Itaubal",16,"Amapá","Norte"
"Row302","Laranjal do Jari",16,"Amapá","Norte"
"Row303","Macapá",16,"Amapá","Norte"
"Row304","Mazagão",16,"Amapá","Norte"
"Row305","Oiapoque",16,"Amapá","Norte"
"Row306","Porto Grande",16,"Amapá","Norte"
"Row307","Pracuúba",16,"Amapá","Norte"
"Row308","Santana",16,"Amapá","Norte"
"Row309","Tartarugalzinho",16,"Amapá","Norte"
"Row310","Vitória do Jari",16,"Amapá","Norte"
"Row311","Abreulândia",17,"Tocantins","Norte"
"Row312","Aguiarnópolis",17,"Tocantins","Norte"
"Row313","Aliança do Tocantins",17,"Tocantins","Norte"
"Row314","Almas",17,"Tocantins","Norte"
"Row315","Alvorada",17,"Tocantins","Norte"
"Row316","Ananás",17,"Tocantins","Norte"
"Row317","Angico",17,"Tocantins","Norte"
"Row318","Aparecida do Rio Negro",17,"Tocantins","Norte"
"Row319","Aragominas",17,"Tocantins","Norte"
"Row320","Araguacema",17,"Tocantins","Norte"
"Row321","Araguaçu",17,"Tocantins","Norte"
"Row322","Araguaína",17,"Tocantins","Norte"
"Row323","Araguanã",17,"Tocantins","Norte"
"Row324","Araguatins",17,"Tocantins","Norte"
"Row325","Arapoema",17,"Tocantins","Norte"
"Row326","Arraias",17,"Tocantins","Norte"
"Row327","Augustinópolis",17,"Tocantins","Norte"
"Row328","Aurora do Tocantins",17,"Tocantins","Norte"
"Row329","Axixá do Tocantins",17,"Tocantins","Norte"
"Row330","Babaçulândia",17,"Tocantins","Norte"
"Row331","Bandeirantes do Tocantins",17,"Tocantins","Norte"
"Row332","Barra do Ouro",17,"Tocantins","Norte"
"Row333","Barrolândia",17,"Tocantins","Norte"
"Row334","Bernardo Sayão",17,"Tocantins","Norte"
"Row335","Bom Jesus do Tocantins",17,"Tocantins","Norte"
"Row336","Brasilândia do Tocantins",17,"Tocantins","Norte"
"Row337","Brejinho de Nazaré",17,"Tocantins","Norte"
"Row338","Buriti do Tocantins",17,"Tocantins","Norte"
"Row339","Cachoeirinha",17,"Tocantins","Norte"
"Row340","Campos Lindos",17,"Tocantins","Norte"
"Row341","Cariri do Tocantins",17,"Tocantins","Norte"
"Row342","Carmolândia",17,"Tocantins","Norte"
"Row343","Carrasco Bonito",17,"Tocantins","Norte"
"Row344","Caseara",17,"Tocantins","Norte"
"Row345","Centenário",17,"Tocantins","Norte"
"Row346","Chapada de Areia",17,"Tocantins","Norte"
"Row347","Chapada da Natividade",17,"Tocantins","Norte"
"Row348","Colinas do Tocantins",17,"Tocantins","Norte"
"Row349","Combinado",17,"Tocantins","Norte"
"Row350","Conceição do Tocantins",17,"Tocantins","Norte"
"Row351","Couto Magalhães",17,"Tocantins","Norte"
"Row352","Cristalândia",17,"Tocantins","Norte"
"Row353","Crixás do Tocantins",17,"Tocantins","Norte"
"Row354","Darcinópolis",17,"Tocantins","Norte"
"Row355","Dianópolis",17,"Tocantins","Norte"
"Row356","Divinópolis do Tocantins",17,"Tocantins","Norte"
"Row357","Dois Irmãos do Tocantins",17,"Tocantins","Norte"
"Row358","Dueré",17,"Tocantins","Norte"
"Row359","Esperantina",17,"Tocantins","Norte"
"Row360","Fátima",17,"Tocantins","Norte"
"Row361","Figueirópolis",17,"Tocantins","Norte"
"Row362","Filadélfia",17,"Tocantins","Norte"
"Row363","Formoso do Araguaia",17,"Tocantins","Norte"
"Row364","Fortaleza do Tabocão",17,"Tocantins","Norte"
"Row365","Goianorte",17,"Tocantins","Norte"
"Row366","Goiatins",17,"Tocantins","Norte"
"Row367","Guaraí",17,"Tocantins","Norte"
"Row368","Gurupi",17,"Tocantins","Norte"
"Row369","Ipueiras",17,"Tocantins","Norte"
"Row370","Itacajá",17,"Tocantins","Norte"
"Row371","Itaguatins",17,"Tocantins","Norte"
"Row372","Itapiratins",17,"Tocantins","Norte"
"Row373","Itaporã do Tocantins",17,"Tocantins","Norte"
"Row374","Jaú do Tocantins",17,"Tocantins","Norte"
"Row375","Juarina",17,"Tocantins","Norte"
"Row376","Lagoa da Confusão",17,"Tocantins","Norte"
"Row377","Lagoa do Tocantins",17,"Tocantins","Norte"
"Row378","Lajeado",17,"Tocantins","Norte"
"Row379","Lavandeira",17,"Tocantins","Norte"
"Row380","Lizarda",17,"Tocantins","Norte"
"Row381","Luzinópolis",17,"Tocantins","Norte"
"Row382","Marianópolis do Tocantins",17,"Tocantins","Norte"
